Wall time,Step,Value
1748399167.1477714,8699904,-86.69984436035156
1748399188.0930927,8716288,-168.48338317871094
1748399207.950037,8732672,-152.0386199951172
1748399227.8569539,8749056,-119.97654724121094
1748399247.8546083,8765440,-131.37484741210938
1748399267.728712,8781824,-116.62277221679688
1748399287.7343693,8798208,-120.72431182861328
1748399308.1311092,8814592,-144.75244140625
1748399328.054095,8830976,-118.54151916503906
1748399348.011227,8847360,-118.85133361816406
1748399368.032575,8863744,-140.72836303710938
1748399387.9414566,8880128,-151.26365661621094
1748399407.8402328,8896512,-134.54244995117188
1748399428.2841997,8912896,-135.82025146484375
1748399448.4306421,8929280,-120.91612243652344
1748399468.4308968,8945664,-114.36295318603516
1748399488.4326022,8962048,-119.58242797851562
1748399508.4351795,8978432,-135.77467346191406
1748399528.4230278,8994816,-110.01924896240234
1748399549.0261295,9011200,-94.1756820678711
1748399569.0596318,9027584,-82.49864196777344
1748399589.1255896,9043968,-89.40132141113281
1748399609.203391,9060352,-100.1170654296875
1748399629.1662247,9076736,-157.14060974121094
1748399649.1333869,9093120,-136.8339080810547
1748399669.8241262,9109504,-119.28972625732422
1748399690.1330156,9125888,-165.794921875
1748399710.0880089,9142272,-150.40492248535156
1748399730.1663885,9158656,-170.9181365966797
1748399749.9585109,9175040,-132.10964965820312
1748399769.8312018,9191424,-119.84256744384766
1748399790.0132246,9207808,-89.15995788574219
1748399809.8655128,9224192,-104.60006713867188
1748399829.7975664,9240576,-104.77186584472656
1748399849.7045898,9256960,-85.84195709228516
1748399869.549767,9273344,-78.61852264404297
1748399889.439012,9289728,-67.0106201171875
1748399909.3191082,9306112,-63.44519805908203
1748399929.3987124,9322496,-72.85093688964844
1748399949.2817593,9338880,-54.654579162597656
1748399969.1556573,9355264,-42.607826232910156
1748399988.9876127,9371648,-33.935523986816406
1748400009.2272143,9388032,-25.030771255493164
1748400029.2852287,9404416,-35.92790222167969
1748400049.4124084,9420800,-23.683839797973633
1748400069.32495,9437184,-28.74114227294922
1748400089.1783667,9453568,-30.267433166503906
1748400109.0174448,9469952,-25.293561935424805
1748400128.8518832,9486336,-23.442262649536133
1748400148.7094975,9502720,-25.73353385925293
1748400168.8569396,9519104,-27.25210189819336
1748400188.731544,9535488,-24.002321243286133
1748400208.636382,9551872,-24.62601661682129
1748400228.4754505,9568256,-29.09095001220703
1748400248.3808475,9584640,-32.502010345458984
1748400268.364297,9601024,-26.05589485168457
1748400288.5091019,9617408,-23.44570541381836
1748400308.5440633,9633792,-19.54384994506836
1748400328.582666,9650176,-16.14820671081543
1748400348.636441,9666560,-22.25536346435547
1748400368.7706573,9682944,-23.573345184326172
1748400388.8276439,9699328,-13.650496482849121
1748400409.1664786,9715712,-10.146005630493164
1748400429.189426,9732096,-19.283687591552734
1748400449.361541,9748480,-15.677848815917969
1748400469.2900083,9764864,-13.996337890625
1748400489.3287342,9781248,-9.269742965698242
1748400509.3904316,9797632,-30.091920852661133
1748400529.6795356,9814016,-23.283203125
1748400549.6601293,9830400,-15.655471801757812
1748400569.5900342,9846784,-22.103761672973633
1748400589.885731,9863168,-21.642030715942383
1748400609.92527,9879552,-11.846306800842285
1748400629.8959775,9895936,-12.46866226196289
1748400649.8190331,9912320,-15.844511985778809
1748400670.291472,9928704,-14.647473335266113
1748400690.8436089,9945088,-15.045097351074219
1748400710.9277453,9961472,-17.757654190063477
1748400731.0285134,9977856,-13.98862075805664
1748400751.051266,9994240,-28.204416275024414
1748400770.9688013,10010624,-23.40251350402832
